作品名称,slug,年份／媒介,女女关系位置,女女恋爱位置,女女关系最高明确度,明确女女交往,明确女女欲望,接受未确认方向,女女关系主线,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标签比例
战姬绝唱SYMPHOGEAR AXZ,senki_zesshou_symphogear_axz_tv_2017,2017 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,高强度战斗、爆炸与重伤、死亡和创伤、战争与奴役、药物及精神控制、身体改造、大规模伤亡威胁。,有精确条目,3459,0.09718132099284812
流汗吧！健身少女,dumbbell_nan_kilo_moteru_tv_2019,2019 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,HTML 元数据、故事／角色页,副线,体重与身材焦虑、身体与肌肉的性化展示、泳装／服装笑料、运动过度与受伤风险笑料。,有精确条目,3512,0.04311512415349887
一杆青空,sora_iro_utility_tv_2025,2025 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,竞技压力与过往受挫、社交媒体关注带来的负担、未成年人参加成人社群活动、运动疲劳和天气风险。,有精确条目,3546,0.0547316384180791
这里是充满笑容的职场。,egao_no_taenai_shokuba_tv_2025,2025 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,是,范围内版本,HTML 元数据、故事／角色页,无,截稿与职业焦虑、酒后纠缠笑料、自我贬抑、体重与饮食笑话、成人漫画工作话题,有精确条目,3565,0.09499867689865044
.hack//时空,hack_sign_tv_2002,2002 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,无,昏迷与住院、亲属控制与恐惧、记忆改写与身份困惑、虚拟世界中的受困、战斗威胁、孤立与严重心理痛苦,有精确条目,3569,0.03477141017385705
人马小姐不迷茫,centaur_no_nayami_tv_2017,2017 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,是,范围内版本,HTML 元数据、故事／角色页,副线,卖弄身体与裸露笑料、身体与生理讨论、未成年人置于暧昧或浴室语境、族群歧视与威权政治讽喻、战争及大规模迫害暗示、儿童照护与疾病,有精确条目,3590,0.08850226928895613
冰雪奇缘：生日惊喜,frozen_fever_short_2015,2015 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,未知,感冒发热、魔法失控、生日筹备混乱、极短篇幅与快速音乐喜剧节奏。,有精确条目,3593,0.05128205128205128
对我垂涎欲滴的非人少女,watashi_wo_tabetai_hitodenashi_tv_2025,2025 TV,主线,主线,明显但未确认,否,否,是,是,是,是,范围内版本,HTML 元数据、故事／角色页,无,自杀意念与自伤威胁、家庭死亡与溺水、猎食与身体恐怖语言、对身体自主权的威胁、记忆与身份痛苦、情感操控、奇幻暴力与严重心理痛苦,有精确条目,3615,0.14386734942696902
Anne Happy♪,an_happy_tv_2016,2016 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,无,事故、疾病、学校考核、嫉妒和敌对反应的喜剧化表达,有精确条目,3648,0.12291021671826625
女孩的钓鱼慢活,slow_loop_tv_2022,2022 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,无,父亲死亡与哀伤、重组家庭适应、性别刻板印象与同伴排斥、饮酒喜剧、成年角色关于年轻女性的喜剧性表述、儿童焦虑与家庭冲突,有精确条目,3669,0.08983654909671869
三者三叶,sansha_sanyou_tv_2016,2016 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,食物匮乏、贫困与大食笑料；言语冲突及一处带血服装笑料,有精确条目,3674,0.10031612223393045
普通女高中生要做当地偶像,locodol_tv_2014,2014 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,女高中生泳装与温泉情境、身体羞耻笑料、演出与公众压力、服装失窃疑云,有精确条目,3676,0.11175523349436393
生存游戏社,sabagebu_tv_2014,2014 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,相邻版本、范围内版本,故事／角色页、可见宣传,无,性骚扰开场、玩具枪与夸张暴力笑料、欺凌与残酷玩笑、体型羞辱／节食笑料、单向追逐式亲密笑料,有精确条目,3703,0.09447576099210823
再得一胜！,mou_ippon_tv_2023,2023 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,HTML 元数据、故事／角色页、可见宣传,无,柔道对抗与受伤、比赛失利、学业与家庭期待压力、性别角色笑谈,有精确条目,3708,0.05226480836236934
看得见的女孩,mieruko_chan_tv_2021,2021 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,异形与怪诞恐怖、威胁和惊吓、围绕“看得见”的孤立与嘲弄、含女高中生身体与内衣相关的喜剧性台词、丧亲和动物伤害指控主题。,有精确条目,3716,0.0158282920361316
Urara迷路帖,urara_meirochou_tv_2017,2017 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,相邻版本、范围内版本,其他位置、故事／角色页、可见宣传,无,浴场／泳装画面、饮酒后失态的喜剧桥段、占术与怪异威胁、寻母与童年分离、童年女女亲吻被说成魔法问候,有精确条目,3727,0.12240491612688922
普通女高中生要做当地偶像 OVA,locodol_ova_2015,2015 OVA,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,圣诞生日、夜访、共浴邀请、留宿话题与地方宣传拍摄。,有精确条目,3728,0.13069908814589665
Fate/kaleid liner 魔法少女☆伊莉雅 OAD,fate_kaleid_liner_prisma_illya_oad_2014,2014 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,无,小学部运动会、成人威胁与“侧室”误会笑料、针对儿童角色的“性感”台词与性化笑料、厕所急迫笑料、竞技压力与过度训练,有精确条目,3747,0.07896051974012994
咲日和 OAD,saki_biyori_oad_2015,2015 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,企划、范围内版本、原作,出版渠道、可见宣传,无,女性群像日常、泳装和猫耳玩笑、庆生与团队活动。,有精确条目,3747,0.12039312039312039
空之音,sora_no_woto_tv_2010,2010 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,相邻版本、范围内版本,故事／角色页、可见宣传,副线,战争与军事占领、枪炮威胁、战争创伤与丧失、敌国偏见、疾病与儿童遇险、关于不伦与非婚生育的回忆叙事,有精确条目,3763,0.020634314100114636
加奈日记,kanamemo_tv_2009,2009 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,无,亲人去世、无住处与未成年人工作处境；年长角色对未成年角色的性骚扰和性化幻想作为反复笑料；饮酒；浴场、泳池与服务性画面,有精确条目,3788,0.12600776351149598
不良少女,bad_girl_tv_2025,2025 TV,主线,主线,明显但未确认,否,否,是,是,是,是,相邻版本、范围内版本,访谈／评论、其他位置、故事／角色页、可见宣传,无,追逐与嫉妒笑料、未经邀请的贴近与主从玩笑、性暗示用语、姐妹依恋竞争、夸张暴力笑料,有精确条目,3801,0.1077954898911353
Princess Principal Crown Handler 第3章,princess_principal_crown_handler_ch3_movie_2023,2023 剧场动画,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,无,枪械、潜入、王位继承危机、暗杀阴谋、政治暴力、身份伪装、儿童权力压力与悬念结尾。,有精确条目,3817,0.11655405405405406
剧场版 高校舰队,high_school_fleet_movie_2020,2020 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,海上武装战斗、炮击爆炸、舰船危险、儿童被卷入危险、强制劳动与救援行动、密集海事术语。,有精确条目,3825,0.0850753524550316
战姬绝唱SYMPHOGEAR GX,senki_zesshou_symphogear_gx_tv_2015,2015 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,高强度战斗、爆炸、重伤与死亡、身体控制和改造、家庭创伤、战争与世界毁灭威胁。,有精确条目,3830,0.09419311276164753
"Wake Up, Girls!",wake_up_girls_tv_2014,2014 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,企划、范围内版本,故事／角色页、可见宣传,副线,未成年偶像的暴露工作与男性顾客接吻要求、偶像恋爱禁令、羞辱与解雇、事务所剥削、流言、团体冲突,有精确条目,3850,0.0163558106169297
江户前精灵,edomae_elf_tv_2023,2023 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,相邻版本、范围内版本,故事／角色页、可见宣传,无,长寿与历史失落、赌博和金钱困扰的喜剧描写、未成年人的考试焦虑,有精确条目,3851,0.048856145792943
奇蛋物语,wonder_egg_priority_tv_2021,2021 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,未成年人自杀与自伤、校园霸凌、性暴力与成人侵害的叙述、身体意象与血腥战斗、饮食障碍和身体羞辱、家庭冲突、宠物死亡、跨性别角色遭受污名、哀伤与疑似师生越界。,有精确条目,3852,0.045584787705131545
Alice in Deadly School,alice_in_deadly_school_ova_2021,2021 OVA,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,校园丧尸灾难、咬伤、血迹、武器、爆炸、死亡与失去。,有精确条目,3860,0.05903527717782577
你的光芒 ～牵牛花与加濑同学。～,asagao_to_kase_san_web_2017,2017 WEB 短篇,主线,主线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,未知,英语字幕为主体未标的歌词轨，未作视听复核；不要将 2018 年 OVA 或漫画内容倒灌进本短片。,有精确条目,3864,0.16143701682582992
和谐,harmony_movie_2015,2015 剧场动画,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,可见宣传,无,自杀、死亡、性暴力相关叙述、意识控制、战争与枪声。,有精确条目,3891,0.08123249299719888
电影 Love Live! 虹咲学园校园偶像同好会 完结篇 第1章,love_live_nijigasaki_final_chapter_part_1_movie_2024,2024 剧场动画,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,个人排名与公开投票压力、伙伴间竞争与退出焦虑、亲子赞助公平冲突、旧搭档失和与修复、未确认的女女浪漫指向,有精确条目,3907,0.07298410829899941
猫神八百万,nekogami_yaoyorozu_tv_2011,2011 TV,主线,重要副线,明确交往,是,是,是,是,所核未见,是,范围内版本,出版渠道、故事／角色页、可见宣传,副线,泳装与身体暴露笑料、赌博与财务失当笑料、失亲与宠物离别、包办婚约与分离焦虑、超自然威胁,有精确条目,3922,0.046448825276802594
终末的伊泽塔,shuumatsu_no_izetta_tv_2016,2016 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,战争与占领、枪炮及轰炸、军民死亡、处决与灭口、异端审问和火刑叙述、人体实验与克隆、致命自我牺牲、政治宣传和对超常力量的工具化、身体化笑料与沐浴／更衣画面。,有精确条目,3923,0.12193748239932413
SHOW BY ROCK!!,show_by_rock_tv_2015,2015 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,是,企划、范围内版本,故事／角色页、可见宣传,无,怪物袭击与危险、操控或腐化、乐队冲突与短暂分离、可能离别带来的情绪压力。,有精确条目,4005,0.05179282868525897
雏逻辑 ～from Luck & Logic～,hina_log_tv_2017,2017 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,相邻版本、范围内版本,故事／角色页、可见宣传,无,幻想战斗与危机；学生之间未先商量的亲吻；魔法造成的短暂情感失常笑料；学校场景与轻度服务性画面,有精确条目,4016,0.1382001836547291
联盟空军航空魔法音乐队 光辉魔女,luminous_witches_tv_2022,2022 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,战争与流离失所、军队纪律、受伤与失去魔力、与使魔分离、少量身体暴露笑料,有精确条目,4018,0.09389895138226882
寒蝉鸣泣之时 业,higurashi_gou_tv_2020,2020 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,恐怖、惨剧循环、谋杀与身体伤害；精神崩溃、家庭暴力、监禁和儿童受害；关系中的执着、操纵与权力失衡。,有精确条目,4043,0.01603395425607168
百合星人奈绪子,yuri_seijin_naoko_san_ova_2010,2010 OVA,主线,未知,未知,否,否,否,是,是,所核未见,相邻版本,可见宣传,无,猥亵者／色狼事件、幼女性化、色情书刊、下半身、阴茎、阉割、触手及姐弟生殖器笑话。,有精确条目,4044,0.08559670781893004
CAROLE & TUESDAY,carole_and_tuesday_tv_2019,2019 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,跟踪式追随、家庭控制与隔离、反移民政治与拘留、职业压力、亲子冲突、疾病与丧失、威胁及非血腥暴力。,有精确条目,4075,0.02922242927325089
踏切时间,fumikiri_jikan_tv_2018,2018 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,未获确认的女女告白与关系尴尬、男性对女高中生的性化评论、学生角色,有精确条目,4115,0.04834761321909425
选择扩散者WIXOSS,selector_spread_wixoss_tv_2014,2014 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,访谈／评论、可见宣传,副线,高压卡牌战斗与强制规则、暴力与身体伤害、记忆丧失与身份置换、操控与虐待、晶—乌莉丝关系中的伤害和依赖、花代／游月—香月的近亲恋爱欲望、孤独与自我危险。,有精确条目,4121,0.08274647887323944
Re:Stage！Dream Days♪,re_stage_dream_days_tv_2019,2019 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,HTML 元数据、故事／角色页,无,中学生偶像与公开舞台压力、社团存废与竞赛焦虑、家长反对演艺活动、家庭期待与姐妹冲突、喜剧性潜入与误导情报。,有精确条目,4125,0.08427601809954752
骇客娃娃,hacka_doll_tv_2015,2015 TV,重要副线,缺席,非恋爱,否,否,否,否,所核未见,所核未见,范围内版本,出版渠道、故事／角色页,副线,性暗示与洗浴笑料、局部裸露、性别变形与“男の娘”表述、儿童单向求婚、身体故障与伤害、职场和御宅文化戏仿,有精确条目,4126,0.024377176533619073
猫神八百万OVA,nekogami_yaoyorozu_ova_2012,2012 OVA,主线,未知,未知,否,否,否,是,所核未见,所核未见,企划、范围内版本,出版渠道、可见宣传,副线,废弃医院与幽灵、脱衣猜拳和身体暴露笑料、男方梦境亲吻叙述；未作画面复核。,有精确条目,4160,0.08075221238938053
初瓣,hitohira_tv_2007,2007 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页,副线,严重社交焦虑与失语、强势社团招募、慢性声带疾病与健康风险、校园冲突、朋友分离、单向告白与拒绝。,有精确条目,4195,0.08706786171574904
虹四动画 第二季,nijiyon_animation_season_2_tv_2024,2024 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,短篇喜剧把亲密互动压缩成笑点；第 2 话的共伞与信件有浪漫读法；第 1、6、11 话的胜利之路是幻想层。,有精确条目,4227,0.08103896103896104
若叶女孩,wakaba_girl_tv_2015,2015 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,HTML 元数据、可见宣传,副线,泳装与身材笑料、性别气质和选美笑话、BL 游戏话题、轻微夸张喜剧,有精确条目,4244,0.1015746285207363
SHOW BY ROCK!! STARS!!,show_by_rock_stars_tv_2021,2021 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,奇幻袭击、误判与拘押、竞赛和演出压力、家庭紧急情况、公共冲突与音乐都市危机。,有精确条目,4263,0.11547619047619048
D4DJ First Mix,d4dj_first_mix_tv_2020,2020 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,学业与舞台压力、家庭限制、短暂失和、住宿与洗浴笑料、竞演焦虑,有精确条目,4286,0.06703146374829001
心跳！光之美少女,doki_doki_precure_tv_2013,2013 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页,副线,幻想战斗与受伤、未成年角色遇险、情绪操控与独占、记忆操控、家庭分离与告别、局部异性恋爱支线。,有精确条目,4288,0.07841981132075472
呼唤少女特别篇 想做的事到底是什么,shoujo_yobidashi_special_web_2026,2026 WEB,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本、原作,可见宣传,无,校园喜剧中的身体部位特写、贴近和轻度性化玩笑；数学与社团压力；结尾为后续正篇留下悬念。,有精确条目,4322,0.06795747911921032
BanG Dream! Episode of Roselia Ⅱ : Song I am.,bang_dream_episode_of_roselia_2_song_i_am_movie_2021,2021 剧场动画,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,竞赛压力、团队焦虑与意见分歧；亚子对燐子说出“I love you”，但关系语境与相互性未确认恋爱。,有精确条目,4329,0.04522015073383578
选择感染者WIXOSS,selector_infected_wixoss_tv_2014,2014 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页、可见宣传,副线,高压许愿游戏、心理痛苦与绝望、记忆丧失和社交隔离、霸凌与公开羞辱、身体／身份置换、近亲恋爱欲望、暴力与自我危险,有精确条目,4400,0.08269746339451434
少女爱上姐姐,otome_wa_boku_ni_koishiteru_tv_2006,2006 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,主导,性别隐瞒与女装、由隐瞒形成的恋爱张力、台词提及舞台／意外亲密接触、抢劫与暴力威胁、死亡与幽灵角色。,有精确条目,4427,0.08004851425106124
动作女主 水果应援团,action_heroine_cheer_fruits_tv_2017,2017 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页,无,舞台事故风险、自我否定、团队争执、自然灾害与交通危机,有精确条目,4434,0.07810650887573964
迷你百合,mini_yuri_web_2019,2019 WEB 短篇,未知,未知,未知,否,否,否,否,所核未见,所核未见,范围内版本,可见宣传,未知,未记录,有精确条目,4479,0.11894543225015328
萤子,hotaruko_ova_2003,2003 OVA,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,未知,18 禁成人向、性暴力与同意状态复杂、亲属关系与操纵、邪教献祭、血腥恐怖和身体伤害。,有精确条目,4488,0.10372608257804633
怪兽娘（黑）～奥特怪兽拟人化计划～,kaijuu_girls_black_movie_2018,2018 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,怪兽拟人化、变身、超能力失控、侵略计划、阵营战斗、城市危机与特摄式夸张破坏。,有精确条目,4498,0.07482993197278912
稻荷恋之歌,inari_konkon_koi_iroha_tv_2014,2014 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,相邻版本、范围内版本,出版渠道、故事／角色页、可见宣传,主导,中学生单恋与拒绝、包办相亲压力、校园排斥与同侪冲突、变身造成的身份混乱、超自然危机与分离焦虑、带性化意味的喜剧,有精确条目,4499,0.018196856906534328
超次元游戏 海王星,hyperdimension_neptunia_tv_2013,2013 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,副线,战斗、囚禁与人身威胁；成人向裸露／泳装、越界身体笑料及单向追求笑料。,有精确条目,4524,0.07446988973706531
邪神与厨二病少女 X,jashin_chan_dropkick_x_tv_2022,2022 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,反复肢解、酷刑、出血与身体再生的黑色喜剧；强制召唤、被迫同居和谋杀企图；债务、强制劳动和经济剥削；恶魔、天使、吸血鬼与死亡情节；裸露、泳装、性化笑点及地方宣传段落中的边界笑料。,有精确条目,4576,0.06010072747621712
女恶魔人,devilman_lady_tv_1998,1998 TV,主线,主线,明确交往,是,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,怪物袭击、变身、死亡与血腥画面；绑架、囚禁和机构控制；药物致昏迷、束缚及失去或难以行使同意时的性化触碰；裸体与性行为；心理胁迫、背叛、丧亲与绝望。,有精确条目,4577,0.07569721115537849
在地下城寻求邂逅是否搞错了什么 外传 剑姬神圣谭,sword_oratoria_tv_2017,2017 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,HTML 元数据、故事／角色页,副线,地下城战斗、怪物袭击、伤亡危险、谋杀未遂、少量身体玩笑、单向理想化与嫉妒,有精确条目,4594,0.017443340972752738
LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,love_live_sunshine_movie_2019,2019 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,副线,毕业与团体分离、三年级成员失联、家庭对未来的安排压力、离别和重聚。,有精确条目,4596,0.04223901098901099
小林家的龙女仆 怕寂寞的龙,kobayashi_maid_dragon_movie_2025,2025 剧场动画,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,家庭分离、龙族战争、战斗、儿童角色卷入危险、性化笑料与暗示性对白。,有精确条目,4610,0.037162857731109736
一个人的○○小日子,hitoribocchi_no_marumaru_seikatsu_tv_2019,2019 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,严重社交焦虑与回避、紧张引发呕吐或倒下的笑料、幼驯染以绝交为条件的约定、反复害怕被朋友抛下、校园出丑与摔倒、因外貌而令人畏惧的教师。,有精确条目,4611,0.09642041127189642
D4DJ All Mix,d4dj_all_mix_tv_2023,2023 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,服务义务、地区活动与舞台压力、创作分歧、合宿和温泉情境。,有精确条目,4614,0.07677356656948493
NULL & PETA,null_and_peta_tv_2019,2019 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,企划、范围内版本,访谈／评论、故事／角色页、可见宣传,无,儿童交通事故与昏迷、误认姐姐死亡、孤独与虚拟世界不安、学校回避、科幻喜剧暴力。,有精确条目,4621,0.07994842037395229
虎子,hyakko_tv_2008,2008 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页,副线,肢体恶作剧与校园闹剧、外貌／摄影笑料、学生角色间性玩笑与意外亲吻、单向男方恋爱笑料、家庭冲突与离家情节,有精确条目,4626,0.10673665791776028
高校舰队 OVA,high_school_fleet_ova_2017,2017 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,校园军事训练与舰艇背景、旧船受损、班级解散传闻、分离焦虑、密令与请愿压力、喜剧性夸张。,有精确条目,4627,0.1109391124871001
红壳的潘多拉,koukaku_no_pandora_movie_2015,2015 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,全身义体、武装机器人、爆炸与动作暴力、身体与性暗示笑料。,有精确条目,4668,0.09715025906735751
Happy Sugar Life,happy_sugar_life_tv_2018,2018 TV,主线,主线,明确交往,是,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,高中生与年幼儿童的恋爱化关系、诱拐与对外隔绝、家庭暴力与遗弃、勒索和操纵、跟踪、肢体伤害、杀人和尸体处理、纵火、性暴力及对未成年人的性化欲望、共同赴死提议、死亡。,有精确条目,4680,0.15405961865544715
白沙的水族馆,shiroi_suna_no_aquatope_tv_2021,2021 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,童年丧亲与哀伤、失去居所与水族馆闭馆、职业挫败与工作压力、家人疾病住院、孤立与情绪困扰、饮酒。,有精确条目,4708,0.06983455175067334
末日列车去哪里？,shuumatsu_train_doko_e_iku_tv_2024,2024 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,末日灾变、青少年长期失联、危险旅行与战斗、身体变形、蘑菇寄生、僵尸、流血与死亡威胁、记忆篡改、精神控制、粗俗笑话和家庭冲突。,有精确条目,4742,0.059880239520958084
RIN×SEN＋Ran→Sem Cross Mix,rin_sen_ran_sem_cross_mix_ova_2013,2013 OVA,局部,局部,明确欲望,否,是,是,否,所核未见,所核未见,范围内版本,HTML 元数据,副线,成人色情、教团控制、威胁与强迫、姐妹性化互动、多人性行为、性奴役设定与怀孕焦虑。,有精确条目,4786,0.03611859838274933
爆裂天使,burst_angel_tv_2004,2004 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页,无,枪战、爆炸、绑架与拘束、人体实验、政治暴力、未成年人反复置于危险中。,有精确条目,4790,0.11990407673860912
海底娇娃蓝华,aika_ova_1997,1997 OVA,重要副线,缺席,非恋爱,否,否,否,否,所核未见,是,相邻版本、范围内版本、原作,故事／角色页、可见宣传,副线,成人向性感宣传、动作冲突、囚禁、胁迫与越界亲属欲望,有精确条目,4801,0.04280701754385965
碧蓝航线：微速前行！,azur_lane_bisoku_tv_2021,2021 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页,未知,指挥官指向的约会与占有台词、泡澡及身体笑料、短暂失忆误会。,有精确条目,4818,0.035543996532293023
女皇之刃 王座的继承者,queens_blade_s2_tv_2009,2009 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,企划、范围内版本,出版渠道、故事／角色页,副线,成人向裸露与性化呈现、非自愿触摸与羞辱、战斗伤害／死亡／石化、精神控制与附身、姐妹间单向占有欲、异性婚姻与家庭分离。,有精确条目,4818,0.05436991869918699
森田同学很沉默 2,morita_san_wa_mukuchi_2_tv_2011,2011 TV,主线,局部,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,未成年角色的恋爱告白、男性同学的性化妄想、疾病与交通事故误会笑料,有精确条目,4830,0.05286343612334802
天体的秩序,sora_no_method_tv_2014,2014 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,亲人死亡与哀伤、记忆缺失与身份困惑、朋友冲突与和解、掌掴、情绪困扰与分离、角色暂时消失。,有精确条目,4841,0.10096103073186187
暗与帽子与书之旅人,yami_to_boushi_to_hon_no_tabibito_tv_2003,2003 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,无血缘姊妹欲望、睡眠状态下靠近嘴唇且接触／同意未确认、分离与嫉妒、奇幻暴力、性化呈现,有精确条目,4850,0.1559967585089141
女皇之刃 美丽女斗士们,queens_blade_beautiful_warriors_ova_2010,2010 OVA,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,企划、范围内版本,出版渠道、可见宣传,未知,成人向裸露与性化呈现、战斗伤害、魔法控制与拘束、强迫处境、姐妹关系中的占有、生命力吸取和阵营操纵。,有精确条目,4867,0.04721362229102167
女高中生的腰技,joshikousei_no_koshitsuki_ova_2013,2013 OVA,未知,未知,未知,否,否,否,否,所核未见,所核未见,—,—,未知,公开分级显示成人向内容；MAL 简介提及女学生与男性对象的成人向欲望情境，未作逐场复核。,有精确条目,4887,0.026633165829145728
