作品名称,女女关系层级,百合归档结论,女女恋爱位置,女女关系最高明确度,关系构成,身份依据类型,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,阅读层级,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标记比例,Bangumi 维基百合公共标签,Anime-Planet GL 标签,AniList Yuri 相关度,MyAnimeList Girls Love 标签
网球并不可笑嘛 4期,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,企划、范围内版本,故事／角色页,正篇事实／强推断／读者解读,无,高速台词、荒诞暴力与死亡笑料、身体触碰与性化玩笑、昆虫与动物威胁、电影戏仿,有可对应条目,3112,0.060723514211886306,有,无,0,无
狂赌之渊××,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,赌博债务与强迫、制度性羞辱、身体伤害、生死赌局、性化支配、家庭权力冲突,有可对应条目,3115,0.028704763581931848,有,无,61,无
舞-乙HiME,主线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实／读者解读,主导,性侵或性侵未遂、未成年角色性化裸露、控制与政治暴力、朋友背叛、角色死亡、战争、失忆、年龄及权力差恋爱,有可对应条目,3122,0.11438152011922503,有,无,0,无
SHOW BY ROCK!! Mashumairesh!!,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,乐队竞争与演出压力、暂时疏离、被离开焦虑、行业契约压力及轻度奇幻危险。,有可对应条目,3131,0.09847036328871893,有,无,50,无
千绪的通学路,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,副线,夸张打闹和危险特技、如厕／身体／衣着笑话、女学生对成年教师的单向心意、前暴走族相关追逐与威胁笑料、地位羞辱式喜剧,有可对应条目,3133,0.02327355971003434,无,无,40,无
花舞少女,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,朋友间占有与嫉妒、言语冲突和短暂决裂、家庭对社团活动的压力、姐妹冲突与师生角色张力、官方梗概中的温泉合宿语境,有可对应条目,3165,0.12199838839645447,有,无,0,无
网球并不可笑嘛 9期,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,高速对白、荒诞肢体笑料、身体与性暗示笑料、竞争与追逐,有可对应条目,3167,0.05393835616438356,无,无,0,无
狂赌之渊 双,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,副线,赌博债务、羞辱与“家畜”制度；异性配对赌局与“过夜”赌注；婚约和性别权力压力；背叛、操控与心理威吓。,有可对应条目,3180,0.06828662646328486,有,无,0,无
天使降临到了我身边！Precious Friends,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,是,范围内版本、原作,出版渠道、可见宣传,正篇事实＋强推断＋读者解读,无,成年人对小学生的特殊关注、明显年龄差与照护边界不对等，以及服装、摄影、点心交换、旅行风险和家庭感伤。,有可对应条目,3201,0.09502823302575403,有,有,78,无
Suite 光之美少女♪,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,副线,未成年角色遇险、欺骗与心理操纵、家庭分离、世界危机与石化。,有可对应条目,3202,0.07777777777777778,无,无,0,无
网球并不可笑嘛 5期,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,企划、范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,高速语言、夸张受伤与威胁笑料、身体和内衣玩笑、轻度性暗示。,有可对应条目,3204,0.06267409470752089,有,无,0,无
剧场版 BanG Dream! It's MyGO!!!!! 前篇 春日向阳，迷途野猫,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,女子乐队解散创伤、归属焦虑、隐瞒、关系操控、激烈争执与情绪崩溃,有可对应条目,3237,0.035528942115768465,无,无,0,无
网球并不可笑嘛 8期,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,高速短片、荒诞暴力与死亡笑料、胸部和内裤话题、未经同意的触摸台词。,有可对应条目,3238,0.05608974358974359,有,无,0,无
樱花任务,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／读者解读,无,工作压力、职业受挫、地方衰退、朋友冲突、疾病与性别化婚恋压力,有可对应条目,3243,0.006616769714719601,无,无,0,无
Princess Principal Crown Handler 第2章,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,枪械、追捕、拘留、营救、暗杀未遂、政变阴谋、政治暴力、双重间谍、重要人物死亡与悬念式结尾。,有可对应条目,3245,0.11397557666214382,有,无,0,无
归宅部活动记录,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,喜剧化暴力、威胁与死亡玩笑；带性意味的画面或台词；性别角色扮演笑话,有可对应条目,3255,0.06498433118918027,有,无,0,无
网球并不可笑嘛 7期,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,高速对白、洗澡闯入、全裸、内裤、胸部与擦身笑料、夸张暴力和死亡表达、危险饮食、幽灵及混合性别集会误导。,有可对应条目,3263,0.05776444111027757,有,无,0,无
影宅,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／读者解读,副线,主从等级、洗脑与记忆剥夺、人格去除、囚禁威胁、身体危险。,有可对应条目,3277,0.03265778807180081,无,无,0,无
LoveLive！虹咲学园学园偶像同好会 NEXT SKY,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实＋强推断,无,短期留学、学园偶像梦想受阻、离别与社团申请压力；未确认女女交往,有可对应条目,3281,0.06689895470383275,有,无,40,无
MADLAX,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,副线,战争、枪击、暗杀、死亡、犯罪组织控制、失忆与身份碎裂、绑架、心理操纵、男性强迫求爱与身体胁迫、创伤。,有可对应条目,3284,0.09273570324574962,有,无,60,无
网球并不可笑嘛 6期,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,企划、范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,高速语言、电影戏仿、夸张吐槽、身体与伤害笑料、武器笑话、情人节巧克力及剧中求婚,有可对应条目,3298,0.05367647058823529,有,无,0,无
结城友奈是勇者 -大满开之章-,主线,文类外百合阅读,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,未成年人战斗、同伴死亡与失踪、身体损失、制度性献祭、创伤及情绪崩溃,有可对应条目,3309,0.11342309261525908,有,无,60,无
Another 第0话,主线,非百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,正篇事实,未知,收养与家庭分离、死亡预兆、白血病与治疗、事故危险、电视正篇前史剧透,有可对应条目,3333,0.06205858515688318,有,无,0,无
选择破坏者WIXOSS剧场版,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,社会孤立、自杀企图相关叙述、危险游戏、高压卡牌战斗、分离、精神伤害、威胁性台词和近亲恋爱欲望。,有可对应条目,3353,0.0888468809073724,有,无,0,无
幸腹涂鸦,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,无,祖母去世后的独居与孤独、父母不在身边、升学压力、短暂生病与食欲不适,有可对应条目,3361,0.0996422182468694,有,无,0,无
演剧星世界,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,舞台竞争与落选压力、人格化 Sense 的消失焦虑、童年记忆与自我认识困惑、剧中剧的异性恋爱／接吻／死亡、职业年龄压力。,有可对应条目,3383,0.10632497273718648,有,无,0,无
宝石幻想：光芒重现,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／读者解读,无,奇幻怪物袭击与危险、慢性病与失声焦虑、家庭分离与王室约束、死亡及幽灵相关内容、喜剧性的暂时年龄变化,有可对应条目,3393,0.08837468636743798,有,无,79,无
网球并不可笑嘛,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,无,超现实肢体喜剧、内衣与身体边界笑料、泳衣及澡堂裸体笑料、高速台词与感官负荷,有可对应条目,3398,0.05203761755485893,有,无,0,无
舞-乙HiME Zwei,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,女性角色的裸露、性化服务与性骚扰场景、陨石灾害、战斗与武器、绑架和身体控制、主从契约与国家权力不对等、失踪和世界末日危机。,有可对应条目,3411,0.09651741293532339,有,无,0,无
战姬绝唱SYMPHOGEAR AXZ,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,战争、奴役、身体改造、精神控制、死亡、重伤和灾难战斗。,有可对应条目,3457,0.09731543624161074,有,无,79,无
蓝海少女,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,潜水训练中的呼吸困难、水下焦虑与风险、高中生泳装场景,有可对应条目,3500,0.060476190476190475,有,无,0,无
.hack//时空,主线,文类内百合,主线,潜在恋爱,单一主要关系记录,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,无,昏迷与住院、亲属控制与恐惧、记忆改写与身份困惑、虚拟世界中的受困、战斗威胁、孤立与严重心理痛苦,有可对应条目,3505,0.03477141017385705,无,无,20,无
流汗吧！健身少女,主线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,HTML 元数据、故事／角色页,正篇事实／强推断／读者解读,副线,体重与身材焦虑、身体与肌肉的性化展示、泳装／服装笑料、运动过度与受伤风险笑料、局部异性恋意向,有可对应条目,3517,0.04317517427479199,无,无,0,无
冰雪奇缘：生日惊喜,主线,非百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,正篇事实＋强推断＋读者解读,副线,感冒发热、魔法失控、生日筹备混乱、极短篇幅与音乐喜剧节奏。,有可对应条目,3528,0.05112474437627812,无,无可对应条目,无可对应条目,无可对应条目
这里是充满笑容的职场。,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,HTML 元数据、故事／角色页,正篇事实＋强推断＋读者解读,无,截稿与职业焦虑、酒后纠缠笑料、自我贬抑、体重与饮食笑话、成人漫画工作话题,有可对应条目,3554,0.09467299578059071,无,无,63,无
一杆青空,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,运动挫折、社交媒体压力、年龄与经验差异,有可对应条目,3555,0.05496828752642706,无,无,0,无
人马小姐不迷茫,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,HTML 元数据、故事／角色页,正篇事实／强推断／读者解读,副线,卖弄身体与裸露笑料、身体与生理讨论、未成年人置于暧昧或浴室语境、族群歧视与威权政治讽喻、战争及大规模迫害暗示、儿童照护与疾病。,有可对应条目,3578,0.0886426592797784,有,无,20,无
对我垂涎欲滴的非人少女,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,是,是,范围内版本,HTML 元数据、故事／角色页,正篇事实＋强推断＋读者解读,无,自杀意念、自伤威胁、家人死亡、车祸、火灾、溺水、捕食、身体恐怖、强制控制、身体自主权威胁和严重心理痛苦。,有可对应条目,3618,0.14486547628666074,有,有,80,有
Anne Happy♪,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,事故、疾病、学校考核、嫉妒及敌对反应的喜剧化表达,有可对应条目,3645,0.12263133569557849,有,无,0,无
三者三叶,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,食物匮乏、贫困与大食笑料，言语冲突及带血服装笑料。,有可对应条目,3674,0.10023114099600756,有,无,0,无
普通女高中生要做当地偶像,主线,文类内百合,缺席,非恋爱,多组同质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实、强推断、读者解读,无,女高中生泳装与温泉情境、身体羞耻笑料、演出与公众压力、服装失窃疑云,有可对应条目,3676,0.11161145062721133,有,无,0,无
女孩的钓鱼慢活,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无（所核十二话字幕）,父亲死亡与哀伤、重组家庭适应、性别刻板印象与同伴排斥、饮酒喜剧、成年角色关于年轻女性的喜剧性表述、儿童焦虑与家庭冲突,有可对应条目,3677,0.08991792233247581,有,无,0,无
生存游戏社,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,相邻版本、范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,性骚扰开场、玩具枪与夸张暴力笑料、欺凌与残酷玩笑、体型羞辱／节食笑料、单向追逐式亲密笑料,有可对应条目,3703,0.09453072248480757,有,无,0,无
再得一胜！,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,HTML 元数据、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,柔道对抗与受伤、比赛失利、学业与家庭期待压力、性别角色笑谈。,有可对应条目,3714,0.05226480836236934,无,无,0,无
看得见的女孩,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,异形与怪诞恐怖、威胁和惊吓、围绕“看得见”的孤立与嘲弄、含女高中生身体与内衣相关的喜剧性台词、丧亲和动物伤害指控主题。,有可对应条目,3725,0.01575907590759076,无,无,20,无
普通女高中生要做当地偶像 OVA,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实、强推断、读者解读,无,圣诞生日、夜访、共浴邀请、留宿话题与地方宣传拍摄。,有可对应条目,3731,0.1303030303030303,有,无,0,无
Urara迷路帖,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,相邻版本、范围内版本,其他位置、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,浴场与泳装画面、饮酒失态喜剧、占术怪异与轻度幻想危机、寻母与童年分离、童年女女亲吻被称为魔法问候,有可对应条目,3733,0.12212286802450736,有,无,0,无
Fate/kaleid liner 魔法少女☆伊莉雅 OAD,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,小学部运动会、成人威胁与“侧室”误会笑料、针对儿童角色的“性感”台词与性化笑料、厕所急迫笑料、竞技压力与过度训练,有可对应条目,3755,0.07870485678704857,有,无,0,无
空之音,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,相邻版本、范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,战争与军事占领、枪炮威胁、战争创伤与丧失、敌国偏见、疾病与儿童遇险、关于婚外恋与非婚生育的回忆叙事。,有可对应条目,3759,0.020540129326740205,有,无,0,无
咲日和 OAD,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,企划、范围内版本、原作,出版渠道、可见宣传,正篇事实＋强推断,无,女性群像日常、泳装和猫耳玩笑、庆生与团队活动。,有可对应条目,3775,0.12102689486552567,有,无,0,无
加奈日记,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断,无,亲人去世、失去住处与未成年人工作处境；成年角色对未成年角色的性骚扰和性化幻想作为反复笑料；饮酒；浴场、泳池与服务性画面,有可对应条目,3784,0.12567004169148302,有,有,81,有
不良少女,主线,文类内百合,主线,潜在恋爱,多组异质关系,官方身份设定,是,是,相邻版本、范围内版本,访谈／评论、其他位置、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,追逐与嫉妒笑料、未经邀请的贴近、主从玩笑、性暗示、姐妹依恋竞争与夸张威胁,有可对应条目,3809,0.10754041235117608,无,有,95,无
Princess Principal Crown Handler 第3章,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,枪械、潜入、王位继承危机、暗杀阴谋、政治暴力、身份伪装、儿童权力压力与悬念结尾。,有可对应条目,3810,0.11622683885457608,有,无,0,无
剧场版 高校舰队,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,海上武装战斗、炮击爆炸、舰船危险、儿童被卷入危险、强制劳动与救援行动、密集海事术语。,有可对应条目,3829,0.08495145631067962,有,无,0,无
战姬绝唱SYMPHOGEAR GX,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,精神控制、身体改造、家庭创伤、重伤、死亡和灾难战斗。,有可对应条目,3834,0.09427609427609428,有,无,79,无
"Wake Up, Girls!",主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,企划、范围内版本,故事／角色页、可见宣传,正篇事实、强推断、读者解读,副线,未成年偶像的暴露工作与男性顾客接吻要求、偶像恋爱禁令、羞辱与解雇、事务所剥削、流言、团体冲突,有可对应条目,3848,0.01632302405498282,无,无,0,无
你的光芒 ～牵牛花与加濑同学。～,主线,文类内百合,主线,潜在恋爱,单一主要关系记录,只有关系性质推断，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,英语字幕是主体未标的歌词轨；完整短片画面已经核对，但脸红、同行或身体距离不单独证明恋爱回应或交往；2018 年 OVA 与漫画不在范围内。,有可对应条目,3851,0.16184448462929477,有,有,100,有
江户前精灵,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,相邻版本、范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,长寿与历史失落、赌博和金钱困扰的喜剧描写、未成年人的考试焦虑,有可对应条目,3852,0.04868624420401855,有,无,0,无
奇蛋物语,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,未成年人自杀与自伤、校园欺凌与孤立、性暴力与虐待、疑似师生边界越界、身体恐怖与血腥幻想暴力、饮食障碍与身体羞辱、家庭冲突与悲伤、宠物死亡、针对跨性别者的恐同与错称性别伤害、医疗实验与操控。,有可对应条目,3855,0.045609935522956425,无,无,0,无
Alice in Deadly School,主线,文类内百合,主线,潜在恋爱,单一主要关系记录,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,无,校园丧尸灾难、咬伤、血迹、武器、爆炸、死亡与同伴失去。,有可对应条目,3860,0.05903527717782577,有,无,0,无
电影 Love Live! 虹咲学园校园偶像同好会 完结篇 第1章,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,个人排名与公开投票压力、伙伴间竞争与退出焦虑、亲子赞助公平冲突、旧搭档失和与修复、未确认的女女浪漫指向,有可对应条目,3903,0.07285546415981199,无,无,73,无
和谐,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,无,自杀与群体死亡、创伤、性暴力相关叙述、意识控制、战争与枪声。,有可对应条目,3905,0.08110627719080174,有,无,80,无
猫神八百万,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实、强推断、读者解读,副线,泳装与身体暴露笑料、赌博与财务失当笑料、失亲与宠物离别、包办婚约与分离焦虑、超自然威胁,有可对应条目,3918,0.04695089044792229,有,无,0,无
终末的伊泽塔,主线,文类内百合,主线,潜在恋爱,单一主要关系记录,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,副线,战争入侵与军事占领、枪炮轰炸与战场伤害、军民死亡、处决与灭口、酷刑与火刑叙述、人体实验与克隆、可能致命的自我牺牲、政治宣传与超自然力量工具化、政治性婚约、身体笑料及沐浴／更衣场景。,有可对应条目,3922,0.12173179645768907,有,无,20,无
SHOW BY ROCK!!,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,企划、范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,怪物袭击、角色受操控、乐队冲突与短暂分离、可能离别带来的情绪压力。,有可对应条目,4003,0.05211726384364821,有,无,50,无
联盟空军航空魔法音乐队 光辉魔女,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实、强推断、读者解读,无,战争与流离失所、军队纪律、受伤与失去魔力、与使魔分离、少量身体暴露笑料,有可对应条目,4016,0.09376487386958592,有,无,0,无
雏逻辑 ～from Luck & Logic～,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,相邻版本、范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,幻想战斗与危机、学生之间突如其来的亲吻、魔法造成的短暂情感失常笑料、学校场景与轻度服务性画面。,有可对应条目,4018,0.13808870598994055,有,无,85,无
寒蝉鸣泣之时 业,主线,文类内百合,主线,明确女女恋爱欲望,单一主要关系记录,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,恐怖、惨剧循环、谋杀与身体伤害；精神崩溃、家庭暴力、监禁和儿童受害；关系中的执着、操纵与权力失衡。,有可对应条目,4057,0.015984955336154207,无,无,40,无
CAROLE & TUESDAY,主线,文类内百合,局部,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,越界追随与骚扰、家庭控制与隔离、反移民政治与拘留、职业压力与物化、亲子冲突、疾病与丧失、威胁及非血腥暴力。,有可对应条目,4076,0.029354538533119024,无,无,0,无
Re:Stage！Dream Days♪,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,HTML 元数据、故事／角色页,正篇事实／强推断／读者解读,无,中学生偶像与公开舞台压力、社团存废与竞赛焦虑、家长反对演艺活动、家庭期待与姐妹冲突、喜剧性潜入与误导情报。,有可对应条目,4098,0.08460236886632826,有,无,0,无
选择扩散者WIXOSS,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,访谈／评论、可见宣传,正篇事实／强推断／读者解读,副线,高压卡牌战斗与强制规则、暴力与身体伤害、记忆丧失与身份置换、操控与虐待、晶—乌莉丝关系中的伤害和依赖、花代／游月—香月的近亲恋爱欲望、孤独与自我危险。,有可对应条目,4120,0.08250438853130486,有,无,0,无
踏切时间,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,单一主要关系记录,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,未获确认的女女告白与关系尴尬、男性对女高中生的性化评论、学生角色,有可对应条目,4127,0.04822954822954823,有,无,50,无
骇客娃娃,重要副线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页,正篇事实／强推断／读者解读,副线,洗浴与局部裸露、性暗示、性别变形及“男の娘”笑料、儿童单向求婚、身体故障与伤害、职场和御宅文化讽刺。,有可对应条目,4128,0.024351083757024352,有,无,0,无
猫神八百万OVA,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,企划、范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,副线,废弃医院、女性幽灵、死亡与升天告别；脱衣猜拳、身体暴露、捆绑及性化喜剧；男性单向求婚幻想与裸露欲望。,有可对应条目,4159,0.08158765159867695,有,无,0,无
初瓣,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页,正篇事实／强推断／读者解读,副线,严重社交焦虑与失语、强势社团招募、慢性声带疾病与健康风险、校园冲突、朋友分离、单向告白与拒绝,有可对应条目,4205,0.08575031525851198,有,无,0,无
