作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
BLUE DROP 天使们的戏曲,2007,TV 动画,2007 年电视动画正式第 1–13 话,主线,文类内百合,主线,明确交往,1,主线 1,明确交往 1,双向 1,若竹玛丽与千光寺萩乃（萩乃的异星身份为艾卡莉尔）（主线／明确交往／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,无,高,是,是,是,是,是,是,是,否,否,是,否,否,"science-fiction invasion, warfare and weapons；mass death and disaster backstory；threats and physical assault；grief, survivor trauma and mourning；separation, sacrifice and an unresolved character fate",科幻,日本,漫画改,4963,0.19047619047619047,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/blue_drop_tv_2007/
你遭难了吗？,2019,TV 动画,2019 年播出的 TV 动画正篇第 1–12 话,主线,文类内百合,缺席,非恋爱,2,主线 1、重要副线 1,非恋爱 2,双向 2,鬼岛誉、铃森明日香、天谷睦与九条紫音四人组（主线／非恋爱／双向）；鬼岛誉与九条紫音（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,否,是,否,否,survival_peril_dehydration_near_drowning_and_rescue；hunting_trapping_killing_and_eating_animals_or_insects；bodily_fluid_hygiene_and_unconventional_hydration_related_survival_comedy；school_age_characters_body_and_clothing_related_survival_gags_including_a_skirt_lifting_scene_in_an_official_episode_summary；isolation_heat_exposure_and_food_or_water_scarcity,,日本,漫画改,4967,0.09407841552142279,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/sounan_desu_ka_tv_2019/
转生成为了只有乙女游戏破灭Flag的邪恶大小姐,2020,TV 动画,2020 年电视动画第一季正篇第 1–12 话,重要副线,文类外百合阅读,重要副线,明确欲望,4,重要副线 3、局部 1,明确欲望 2、潜在恋爱 1、非恋爱 1,双向 1、单向 3,玛丽·亨特指向卡塔莉娜·克拉艾斯（重要副线／明确欲望／单向）；玛丽亚·坎贝尔指向卡塔莉娜·克拉艾斯（重要副线／明确欲望／单向）；索菲亚·阿斯卡尔特指向卡塔莉娜·克拉艾斯（局部／潜在恋爱／单向）；卡塔莉娜与玛丽、玛丽亚、索菲亚等人的女学生共同体（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,并列,高,否,否,否,是,是,否,否,否,是,是,否,是,class_based_bullying_and_discrimination；kidnapping_unlawful_confinement_and_magic_coercion；threats_of_execution_exile_and_false_accusation；physical_assault_and_magic_danger；possessiveness_and_jealousy_played_as_comedy；adoptive_sibling_romance_candidate,乙女、喜剧、奇幻、恋爱,日本,小说改,4968,0.03656150648080215,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/hamefura_tv_2020/
伯纳德小姐说。,2016,TV 动画,2016 年电视短篇动画播出正篇第 1–12 话,重要副线,文类外百合阅读,缺席,非恋爱,1,重要副线 1,非恋爱 1,双向 1,町田さわ子与神林しおり的书友关系（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,副线,高,否,否,否,否,否,否,否,否,否,是,否,否,"rapid dialogue and dense literary-reference humor；fictional violence, death and disturbing material discussed as literature；slapstick physical comedy and harsh verbal retorts；a minor one-sided heterosexual interest",,日本,漫画改,4984,0.04472843450479233,2026-07-31,https://l-m-sherlock.github.io/yuri-classification-archive/works/bernard_jou_iwaku_tv_2016/
强袭魔女 501部队起飞！,2019,TV 动画,2019 年 TV 动画《强袭魔女 501部队起飞！》正篇第 1–12 话；范围内官方企划首页、故事页和角色页，仅用于版本、角色组织和公开表述核对；Bangumi 条目 253048、MyAnimeList 38004、AniList 104378 以及 Anime-Planet 精确条目的公开字段快照,主线,文类内百合,重要副线,明确欲望,4,主线 1、重要副线 3,明确欲望 1、潜在恋爱 2、非恋爱 1,双向 1、单向 2、相互性未确认 1,第 501 联合战斗航空团女女共同体（主线／非恋爱／双向）；艾拉—桑妮亚的夜间搭档关系（重要副线／明确欲望／单向）；佩琳—坂本的前后辈与仰慕关系（重要副线／潜在恋爱／单向）；米娜—坂本的亲密指挥搭档关系（重要副线／潜在恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,无,高,否,否,否,是,是,是,是,否,是,是,否,否,架空战争、军事防卫和异形敌人；战斗危险、武器训练、事故和夸张的喜剧性暴力；频繁裸体、内衣式服装、洗浴和身体凝视服务性笑料；身体接触、羞耻和同意表达在喜剧场面中不总是清楚；军队命令、前后辈权力差异与压力管理；短篇喜剧承接系列背景，未接触其他版本的读者可能缺少角色背景,,日本,漫画改,5020,0.07850707850707851,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/strike_witches_501_takeoff_tv_2019/
群花绽放，彷如修罗,2025,TV 动画,2025 年电视动画播出正篇第 1–12 话,主线,文类内百合,主线,潜在恋爱,3,主线 1、重要副线 2,潜在恋爱 1、非恋爱 2,双向 1、相互性未确认 2,春山花奈与薄赖瑞希（主线／潜在恋爱／相互性未确认）；春山花奈与西园寺修罗（重要副线／非恋爱／相互性未确认）；夏江杏与曇美咲（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,中,否,否,否,否,是,是,否,否,否,是,否,否,family_control_and_temporary_confinement；family_separation_and_emotional_distress；school_competition_and_performance_pressure；interpersonal_conflict_and_harsh_criticism；a_local_heterosexual_unrequited_love_thread,校园,日本,漫画改,5023,0.055686838590362685,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/hana_wa_saku_shura_no_gotoku_tv_2025/
战姬绝唱SYMPHOGEAR,2012,TV 动画,2012 年 1 月至 3 月播出的《戦姫絶唱シンフォギア》TV 正篇第 1–13 话,主线,文类内百合,主线,潜在恋爱,4,主线 2、重要副线 2,潜在恋爱 1、非恋爱 3,双向 3、相互性未确认 1,立花响与小日向未来的亲友、互相牵挂与潜在恋爱方向（主线／潜在恋爱／相互性未确认）；风鸣翼与天羽奏的表演搭档、共同演唱与失去后的哀伤（重要副线／非恋爱／双向）；立花响与风鸣翼的冲突、训练与战斗搭档关系（重要副线／非恋爱／双向）；响、未来、翼、雪音克里斯与学校同伴的援助共同体（主线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,fantasy_combat_and_blood；death_bereavement_and_grief；physical_injury_and_medical_risk；coercive_institutional_control_and_conspiracy；psychological_distress_and_isolation；school_attack_and_teen_characters_in_peril；threat_of_mass_casualties,战斗,日本,原创,5091,0.08970344446491066,2026-07-31,https://l-m-sherlock.github.io/yuri-classification-archive/works/senki_zesshou_symphogear_tv_2012/
LoveLive! Sunshine!!,2016,TV 动画,2016 年 TV 动画第一季正式第 1–13 话,主线,文类内百合,主线,潜在恋爱,5,主线 3、重要副线 2,潜在恋爱 1、非恋爱 4,双向 4、单向 1,Aqours 九人共同体（主线／非恋爱／双向）；渡边曜—高海千歌（主线／潜在恋爱／单向）；高海千歌—樱内梨子（主线／非恋爱／双向）；松浦果南—小原鞠莉（及黑泽黛雅的旧三人关系）（重要副线／非恋爱／双向）；国木田花丸—黑泽露比（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,学校废校压力与升学去向焦虑；旧友沟通失灵、疏离、嫉妒与自责；角色对能力、身体条件和舞台表现的焦虑；喜剧化肢体碰撞、泳装与更衣相关画面,音乐,日本,原创,5113,0.05123241708607562,2026-07-31,https://l-m-sherlock.github.io/yuri-classification-archive/works/love_live_sunshine_tv_2016/
少女爱上姐姐 2人的Elder THE ANIMATION,2012,OVA,Bangumi subject 10457 收录的 2012 年 OVA 第 1–3 话；Frontier Works DVD VOL.1、VOL.2、VOL.3 所对应的三话动画（2012-08-29、2012-09-26、2012-10-24）,重要副线,文类外百合阅读,缺席,非恋爱,2,重要副线 2,非恋爱 2,双向 2,七々原薫子与君原春美的冲突、和解与友谊（重要副线／非恋爱／双向）；薫子与圣應女学院女性同伴共同体（重要副线／非恋爱／双向）,是,是,当前版本,可见作品宣传,范围内无依据,主导,中,否,否,否,否,否,否,否,否,否,是,是,是,男性主角女装进入女学院与性别隐瞒；不登校背景；女校环境中的仰慕、照护与浪漫化阅读不等于角色身份结论,,,游戏改,5128,0.05381818181818182,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/otome_wa_boku_ni_koi_shiteru_2_ova_2012/
长骑美眉,2016,TV 动画,2016 年 TV 动画《ろんぐらいだぁす！》正篇第 1–12 话；第 1–10 话于 2016 年播出，第 11–12 话于 2017-02-05 播出,主线,文类内百合,缺席,非恋爱,3,主线 1、重要副线 2,非恋爱 3,双向 3,Fortuna 五人自行车团队（主线／非恋爱／双向）；仓田亚美与新垣葵的幼驯染与骑行搭档关系（重要副线／非恋爱／双向）；雏子、弥生、纱希与新成员的骑行指导及同伴网络（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,HTML 元数据、剧情／角色页,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,long_distance_cycling_exertion_fatigue_and_hunger；cycling_safety_risk_and_weather_exposure,运动,日本,漫画改,5129,0.08531383302864107,2026-07-31,https://l-m-sherlock.github.io/yuri-classification-archive/works/long_riders_tv_2016/
斯特拉的魔法,2016,TV 动画,2016 年电视动画《ステラのまほう》正式播出的第 1–12 话（2016-10-03 至 2016-12-19）,主线,文类内百合,缺席,非恋爱,4,主线 1、重要副线 2、局部 1,非恋爱 4,双向 4,SNS 部的同人游戏创作共同体（主线／非恋爱／双向）；本田珠辉与布田裕美音（重要副线／非恋爱／双向）；村上椎奈与关彩芽（局部／非恋爱／双向）；本田珠辉与饭野水叶（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,是,是,否,否,"creative-deadline pressure and self-doubt；illness, public-event anxiety and school-age caregiving；romance, gender-switch and seme/uke shipping jokes involving teen characters；light school comedy and physical-gag framing",日常,日本,漫画改,5132,0.10410958904109589,2026-07-31,https://l-m-sherlock.github.io/yuri-classification-archive/works/stella_no_mahou_tv_2016/
真・恋姬无双～少女大乱～,2010,TV 动画,2010 年 4 月 1 日至 6 月 17 日播出的《真・恋姬无双～少女大乱～》TV 正篇第 1–12 话；本季官方作品页、角色页、宣传与 DVD 商品页中直接归属于本季的说明；Bangumi subject 4286、MyAnimeList 8057、AniList 8057 与 Anime-Planet 精确条目作为数据库对照,主线,文类内百合,重要副线,明确欲望,9,主线 2、重要副线 6、局部 1,明确欲望 1、潜在恋爱 1、非恋爱 7,双向 6、单向 1、相互性未确认 2,刘备、关羽与张飞的桃园姐妹与义勇军共同体（主线／非恋爱／双向）；魏延对刘备的初见倾慕与姐姐投射（局部／明确欲望／单向）；严颜与魏延的师徒和如女般照护（重要副线／非恋爱／双向）；马岱与魏延的斗嘴、伙伴承认与战斗互助（重要副线／非恋爱／双向）；孙权与吕蒙的学习、护卫与军师配置（重要副线／非恋爱／双向）；孙策与周瑜的长期相伴、纪念与暧昧语境（重要副线／潜在恋爱／双向）；贾驱、董卓与华雄的保护、亏欠与共同承担（重要副线／非恋爱／相互性未确认）；多阵营女性武将的联合军、战斗分工与终局共同体（主线／非恋爱／相互性未确认）；陈宫与吕布的忠诚、照护与救援（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传、访谈／评论,只有明确关系事实,无,中,否,否,否,是,是,是,是,否,是,是,否,否,历史幻想与战争、武器和战斗伤害；性化服装、裸露与以身体为笑点的卖肉演出；强迫服药、诬陷、囚禁和权力滥用；妖术、变形、追杀和群体暴力；不应把喜剧化的性化笑料、强推与性化威胁语句当作现实关系范本,,日本,游戏改,5134,0.12706007442849548,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/shin_koihime_musou_otome_ran_tv_2010/
地下城里的人们,2024,TV 动画,2024 年 TV 动画《ダンジョンの中のひと》正篇第 1–12 话；范围内 TV 版官网主页、人物页及第 1 至 12 话故事页，仅用于版本与官方表述核对；当前可访问的数据库类型、题材与社区标签字段，仅作为外部标签资料,主线,文类内百合,缺席,非恋爱,1,主线 1,非恋爱 1,双向 1,克蕾与贝尔（主线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,fantasy_violence_and_dungeon_combat；death_resurrection_and_injury_mechanics；missing_parent_and_childhood_bereavement；criminal_violence_and_party_killing；workplace_hierarchy_and_employment_power_imbalance,奇幻、日常,日本,漫画改,5138,0.04928027095681626,2026-07-31,https://l-m-sherlock.github.io/yuri-classification-archive/works/dungeon_no_naka_no_hito_tv_2024/
LoveLive! Sunshine!! 第二季,2017,TV 动画,2017 年 TV 动画第二季正式第 1–13 话；本季官方公开故事简介、版本资料与对应数据库条目,主线,文类内百合,缺席,非恋爱,4,主线 1、重要副线 3,非恋爱 4,双向 4,Aqours 九人共同体（主线／非恋爱／双向）；高海千歌—樱内梨子—渡边曜的二年级组（重要副线／非恋爱／双向）；松浦果南—小原鞠莉—黑泽黛雅的旧 Aqours 三人关系（重要副线／非恋爱／双向）；黑泽露比—国木田花丸及一年级成员关系（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,是,是,否,否,毕业、学校关闭与团体分离压力；成员之间的误会、竞争、嫉妒和关系修复；舞台演出、竞赛与校园偶像活动压力；对未来道路、升学和共同体终点的焦虑；家庭期待与个人选择的冲突,校园,日本,原创,5169,0.04688959461983934,2026-08-02,https://l-m-sherlock.github.io/yuri-classification-archive/works/love_live_sunshine_season_2_tv_2017/
贫穷姐妹物语,2006,TV 动画,2006 年电视播出的《貧乏姉妹物語》TV 正篇第 1–10 话,主线,文类内百合,缺席,非恋爱,2,主线 1、重要副线 1,非恋爱 2,双向 2,山田きょう与山田あす（主线／非恋爱／双向）；越后屋金子与越后屋银子（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,child_poverty_and_children_taking_on_work_and_household_responsibilities；parental_abandonment_gambling_debt_and_death_of_a_parent；illness_hospitalization_and_fear_of_family_separation；anxiety_about_being_a_burden_and_losing_a_caregiver,日常,日本,漫画改,5172,0.05544455544455545,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/binbou_shimai_monogatari_tv_2006/
赛马娘四格,2020,TV 短篇,2020 年 7 月 7 日至 9 月 22 日播出的 TV 短篇《うまよん》第 1–12 话；Bangumi subject 269389 所归档的 12 话、每话约 3 分钟的首播版本,主线,文类内百合,缺席,非恋爱,4,主线 1、重要副线 2、局部 1,非恋爱 4,双向 4,特雷森学园的女赛马娘群体（主线／非恋爱／双向）；BNW（琵琶晨光、成田大进、胜利奖券）（重要副线／非恋爱／双向）；同校女赛马娘的竞技与表演伙伴网络（重要副线／非恋爱／双向）；各话临时组成的女性小组（局部／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,是,是,否,否,短篇竞技喜剧中的比赛失败、追逐和轻度摔倒笑料；马娘拟人化设定及现实赛马成绩的戏剧化转化；试胆、悬疑剧场和英雄扮演带来的惊吓或夸张冲突；角色数量较多、短篇节奏快，部分关系只在单集场景中出现,,日本,漫画改,5192,0.05115740740740741,2026-08-02,https://l-m-sherlock.github.io/yuri-classification-archive/works/umayon_tv_2020/
剧场版 Fate/kaleid liner 魔法少女☆伊莉雅 Licht 无名的少女,2021,剧场动画,2021 年 8 月 27 日上映的《劇場版 Fate/kaleid liner プリズマ☆イリヤ Licht 名前の無い少女》正片；本片官方主页、Story 页与精确数据库条目中直接涉及本片的版本、关系和分类表述,重要副线,文类外百合阅读,缺席,非恋爱,3,重要副线 1、局部 2,非恋爱 3,双向 2、相互性未确认 1,伊莉雅与美游（重要副线／非恋爱／双向）；伊莉雅与克洛伊（局部／非恋爱／双向）；潘多拉与美游（局部／非恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,副线,高,否,否,否,否,否,否,否,否,否,是,否,否,魔法战斗、重伤、死亡威胁与大规模灾害；平行世界战争、家庭创伤、牺牲和世界毁灭风险；囚禁、把美游当作圣杯或人类救济工具的权力关系；身体与人格被当作工具、控制和身份错置语境；续作剧场版结构依赖 TV 系列和前作的设定与关系背景,战斗,,漫画改,5196,0.05293831957260806,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/fate_kaleid_liner_prisma_illya_licht_movie_2021/
魔法纪录 魔法少女小圆外传,2020,TV 动画,2020-01-04 至 2020-03-28 首播的《マギアレコード 魔法少女まどか☆マギカ外伝》TV 1st Season 正篇第 1–13 话,主线,文类内百合,缺席,非恋爱,6,主线 3、重要副线 2、局部 1,非恋爱 6,双向 5、相互性未确认 1,环彩羽与环忧的姐妹关系与寻找（主线／非恋爱／双向）；环彩羽与七海八千代的相识、共同调查与互相救援（主线／非恋爱／双向）；彩羽、八千代、由比鹤乃、深月菲莉希亚与二叶莎奈的团队共同体（主线／非恋爱／双向）；七海八千代与梓美冬的旧友、分歧与阻止关系（重要副线／非恋爱／双向）；十咎桃子、水波玲奈与秋野枫的队伍、绝交与修复（重要副线／非恋爱／双向）；环彩羽与黑江的定期信息交换与短暂同行（局部／非恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页,范围内无依据,无,高,否,否,否,否,否,是,是,是,是,是,否,否,"fantasy combat, injury and characters in mortal danger；illness, family separation, disappearance and grief；memory manipulation, identity erasure and coercive institutional recruitment；death, survivor guilt and discussion of self-sacrifice；family neglect, social isolation and emotional distress",战斗,日本,游戏改,5243,0.06217472118959108,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/magia_record_tv_2020/
4个人各自有着自己的秘密,2022,TV 动画,2022 年电视动画正式播出的正篇第 1–11 话,主线,文类内百合,缺席,非恋爱,3,主线 2、重要副线 1,非恋爱 3,双向 3,リッカ、千代与関根的女同学朋友关系（主线／非恋爱／双向）；リッカ—千代：友伴关系及“结婚／约会”玩笑的局部场景（重要副线／非恋爱／双向）；翼（本名剛）与三人的隐瞒身份同学友情（主线／非恋爱／双向）,所核未见,是,当前版本,出版载体、剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,是,gender_presentation_and_sex_concealment；repeated_memory_manipulation_and_erasure；cartoon_science_fiction_violence_and_threats；schoolchildren_in_danger；sexualised_and_puberty_related_comedy,日常、校园,日本,漫画改,5247,0.047406581148912434,2026-07-31,https://l-m-sherlock.github.io/yuri-classification-archive/works/yonin_wa_sorezore_uso_wo_tsuku_tv_2022/
测不准的阿波连同学 第二季,2025,TV 动画,2025 年 4 月 7 日至 6 月 23 日播出的电视动画第二季正篇第 1—12 话；与 Bangumi 506922、AniList 179979、MyAnimeList 59466 及 Anime-Planet 精确对应的已完结版本,重要副线,非百合,缺席,非恋爱,4,重要副线 2、局部 2,非恋爱 4,双向 4,阿波连玲奈—玉那霸里玖的童年友情与重新成为朋友（重要副线／非恋爱／双向）；阿波连玲奈—大城美月的青梅竹马友情与照料（重要副线／非恋爱／双向）；阿波连玲奈—阿波连艾鲁的姐妹亲情与照料（局部／非恋爱／双向）；桃原老师—宫平老师的朋友与同事关系（局部／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页,范围内无依据,主导,高,否,否,否,否,否,否,否,否,是,是,否,是,毕业、远距离与分手焦虑；青春恋爱喜剧中的婚姻与未来承诺,恋爱、校园,日本,漫画改,5281,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/aharen_san_wa_hakarenai_season_2_tv_2025/
裤袜视界,2019,WEB 动画,2019 年网络动画《みるタイツ》正篇第 1–12 话；官网首页、分集故事页和蓝光页中能核对这十二话范围及人物／故事表述的内容；覆盖正篇第 1–12 话的日文定时字幕，仅用于核对对话、时间位置与语境,主线,文类内百合,缺席,非恋爱,2,主线 1、重要副线 1,非恋爱 2,双向 2,藍川レン、中紅ユア与萌黄ホミ的同学朋友共同体（主线／非恋爱／双向）；藍川レン与中紅ユア的朋友互动与戏谑场景（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,否,是,否,否,tights_and_feet_fetish_framing；sexualised_schoolgirl_and_body_fanservice；sexual_innuendo_and_double_entendre；physical_contact_and_boundary_blurring_comedy；teacher_student_suggestive_fantasy_comedy,,,原创,5287,0.03154159547903798,2026-07-31,https://l-m-sherlock.github.io/yuri-classification-archive/works/miru_tights_web_2019/
轮回的拉格朗日 第二季,2012,TV 动画,2012 年 TV 动画第二季正篇第 1–12 话；官网故事档案 story2_01.html 至 story2_12.html；用于确认该 12 话 TV 版本的公开制作资料和数据库说明,主线,文类内百合,主线,潜在恋爱,3,主线 3,潜在恋爱 2、非恋爱 1,双向 1、相互性未确认 2,京乃圆与兰（主线／潜在恋爱／相互性未确认）；京乃圆与麦波尼（主线／潜在恋爱／相互性未确认）；京乃圆、兰与麦波尼的运动服社共同体（主线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页,只有关系推断,副线,高,否,否,否,否,是,是,否,否,否,是,否,否,机甲战斗与武器攻击；宇宙战争、政治冲突和城市及地球级灾害；离别、失忆、背叛和关系误解；三人争执、强行卷入实验与危险救援,,日本,原创,5294,0.1076555023923445,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/lagrange_season_2_tv_2012/
灼热乒乓妹,2016,TV 动画,2016 年 TV 动画《灼熱の卓球娘》正篇第 1–12 话；范围内 TV 版官网、电视东京分集资料与角色页中可核对的公开表述，仅作为版本与关系资料；当前可访问的数据库类型、题材与社区标签字段，仅作为外部标签资料,主线,文类内百合,主线,潜在恋爱,5,主线 2、重要副线 3,潜在恋爱 1、非恋爱 4,双向 5,旋风小依—上矢阿贺里的竞争、搭档与潜在恋爱（主线／潜在恋爱／双向）；旋风小依与同队排名对手（重要副线／非恋爱／双向）；天下花火—出云北斗的幼年友情（重要副线／非恋爱／双向）；雀原中学卓球部女孩共同体（主线／非恋爱／双向）；雀原中学卓球部—もず山中学卓球部（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,sports_competition_pressure_and_defeat；sports_injury_and_pain；body_and_underwear_jokes；body_shaming_or_breast_jokes,运动,日本,漫画改,5300,0.1227559437166424,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/shakunetsu_no_takkyuu_musume_tv_2016/
女友成堆 第二季,2023,TV 动画,2023 年 10 月 6 日至 12 月 22 日播出的电视动画第二季正篇第 1—12 话；Bangumi 条目 398949 所对应的十二话电视动画版本；完整日文 SRT 字幕第 1—12 话，用于连续审读台词与定位决定性关系材料；第二季官方网站、分话故事页及四个平台精确条目，用于锁定版本并记录公共标签,重要副线,文类外百合阅读,重要副线,潜在恋爱,5,重要副线 4、局部 1,潜在恋爱 1、非恋爱 4,双向 4、相互性未确认 1,佐木咲—桐生紫乃（重要副线／潜在恋爱／相互性未确认）；佐木咲—水濑渚（重要副线／非恋爱／双向）；桐生紫乃—水濑渚（重要副线／非恋爱／双向）；咲、渚、紫乃与理香的女性共同体（重要副线／非恋爱／双向）；星崎理香—星崎理沙（局部／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,只有关系推断,主导,高,否,否,否,否,是,否,否,否,是,是,否,是,后宫式多重交往与围绕同一男性对象的竞争；青少年性化笑料、裸露、意外身体接触与边界侵犯喜剧；单向告白、被拒绝、嫉妒和朋友关系冲突；共同生活中的亲密空间与泳装旅行情节,后宫、恋爱,日本,漫画改,5301,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/kanojo_mo_kanojo_season_2_tv_2023/
蓝色星夜,1996,OVA,Bangumi 百合标签榜所列条目 62249 的两集 OVA，首集 1996-04-26、第二集 1996-07-26；与 DVD 720×480 版本对应的两集繁体中文 ASS，以及同线程另一套 SIDE A／SIDE B 繁体字幕交叉核对；用于确认本 OVA 版本、成人向定位、主要关系和公开分类的资料,主线,文类内百合,主线,明确交往,4,主线 1、重要副线 3,明确交往 2、明确欲望 1、非恋爱 1,双向 2、单向 1、相互性未确认 1,椎名佳织与今井优子（Kaori—Yuko）的亲密伴侣／管理者关系（主线／明确交往／双向）；绿泽早纪对佳织的欲望、竞争与胁迫（重要副线／明确欲望／单向）；今井优子与绿泽早纪（Yuko—Saki）的旧日恋爱与未决牵挂（重要副线／明确交往／双向）；绿泽早纪与田村沙耶香的支配／性关系（重要副线／非恋爱／相互性未确认）,所核未见,所核未见,原作,出版载体,只有明确关系事实,无,中,是,是,是,是,是,是,是,否,是,是,否,否,成人向 OVA，含露骨性描写；不适合未成年人；futanari／双性体身体设定；不能由身体设定推断角色性取向或现实身份；以公开身体秘密相威胁、无视口头拒绝的性接触、把人作为收藏品或赌注；演艺行业权力胁迫与多人性暴力回忆；字幕可确认拒绝和压迫语境，具体视觉动作未复核；经理／艺人、前辈／后辈和支配／服从关系中的权力不对等,,,,5332,0.10303030303030303,2026-08-06,https://l-m-sherlock.github.io/yuri-classification-archive/works/parade_parade_ova_1996/
Love Live! Superstar!!,2021,TV 动画,2021 年 TV 动画第一季正篇第 1–12 话，于 2021 年 7 月 11 日至 10 月 17 日播出,主线,文类内百合,主线,潜在恋爱,4,主线 3、重要副线 1,潜在恋爱 3、非恋爱 1,双向 4,Liella! 五人共同体（主线／非恋爱／双向）；涩谷香音与唐可可（主线／潜在恋爱／双向）；涩谷香音与岚千砂都（主线／潜在恋爱／双向）；唐可可与平安名堇（重要副线／潜在恋爱／双向）,所核未见,所核未见,,,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,"stage fright and panic responses；childhood bullying；school closure and financial insecurity；parental bereavement；family pressure regarding study and returning abroad；online evaluation and competitive disappointment；overtraining, exhaustion and heat illness risk",校园,日本,原创,5333,0.05893305269974905,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/love_live_superstar_season_1_tv_2021/
